,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
134,Ashley Hsu,2019年6月4日,5, 對於食物評價選項不多 比如我訂三種食物 其中之一很糟 另很好兩樣 但很難評分,,0
135,陳凱文,2019年5月26日,1, 沒有支援送到付款,,2
136,舒芸羅,2019年6月5日,5, 外送費30很便宜阿 而且外送速度挺快的 有時候還不用外送費,,0
137,趙曉芯,2019年6月3日,5, 外送服务好，親切。希望能多增加些合作餐廳。如丸龜製麵，謝謝,,0
138,Claire Kao,2019年6月1日,1, 我根本還沒訂餐過，朋友推薦的首次折扣竟然不能用，說我已經用過，傻眼了,,0
139,Leonarka Geo,2019年5月24日,5, 註冊完，點餐結帳時，輸入優惠序號eats-h63t2k,,7
140,。小鬼,2019年5月28日,5, 輸入 eats-mr04rm 可獲得首2筆訂單扣NT$60的優惠,,1
141,吳文軒,2019年5月28日,1, 綁卡不給刪，消費還要另外收手續費還要查尋才知道,,0
142,江布丁,2019年6月4日,2, 飲品五折根本就是假的，只有折100加外送費30,,0
143,王證坤,2019年5月25日,4, eats-6rvnxc邀請碼,,1
144,Pei-Hsuan Chiang,2019年5月26日,5, 新戶輸入eats-acrvbd，有2次折80元,,0
145,達文西,2019年5月28日,4, eats-pv6xc3，這是折扣碼有需要請取用,,0
146,Alan YIE,2019年5月31日,1, 無法使用 輸入電話 接下來輸入基本資料，下一步又回到輸入電話，無限循環，無法使用,,0
147,JS Li,2019年6月2日,4, 目前使用沒啥問題，外送員素質也挺好的，但是，GUI太亂了,,0
148,EMPYREAN LEE,2019年5月24日,2, 功能面向是不錯，挺方便的，但程式穩定性實在不好,,0
149,DS A,2019年5月29日,5, eats-q6rqva輸入邀請碼立刻獲得購物金120元,,0
150,앰버,2019年5月24日,2, 是很方便，但除了針對新客戶，老客戶是否也要給點折扣？,,3
151,謝伯佶,2019年5月26日,5, 很方便❤,,0
152,婷婷杜,2019年5月28日,3, 方便是方便但是裡面給的折扣碼卻是不能用的,,0
153,Yang Judy,2019年6月1日,5, eats-x29uqn 此優惠碼可以有2筆$80折扣喔~,,0
154,陳欣如,2019年6月3日,1, 我的訂單，已經發e mail給我了，請問何時會退款,,0
155,膽哥,2019年5月28日,5, 早上剛下載就馬上用，還不錯歡迎第一次用的朋友快輸入這個優惠碼可領80元哦 eats-guhv6w1kue,,0
156,bk ye,2019年5月28日,1, 他根本沒傳什麼驗證碼給我,,0
157,cherry chen,2019年5月26日,4, 希望能擴充台中市豐原區,,2
158,chichi lin,2019年5月28日,1, 我根本沒註冊 怎麼會有密碼,,1
159,Hsu sara,2019年5月31日,4," when placing order, better to confirm the timing you want. otherwise, it's good.",,0
160,張芳瑜,2019年6月1日,5, 目前用過好幾次都還算滿意，上次不小心讓外送員等太久（有事先告知）不過外送員還是很客氣的說沒關係，真不好意思XD 第一次使用的人可以輸入折扣碼eats-0so2jr（可以有80元的折扣2張哦~點餐一次能抵用80元，總共可以有160元的優惠≧∇≦）,,0
161,桂美平,2019年6月1日,4, 有些店面餐會出現定單無法完成的情況，目前無解。,,0
162,紫瑞光,2019年5月28日,5, 點餐的圖片如能放大更好,,0
163,林奎耀,2019年6月5日,5, 第一次送貨速度很快,,0
164,許維剛,2019年5月29日,5, eats-zk6sis 歡迎大家用這組號碼，大家來共享優惠喔 ^^歡迎你,,1
165,黃秀蓮,2019年5月28日,4, 可以即時看到餐點運送到哪裡,,0
166,ULA C,2019年5月24日,3, 明明就是新客戶，卻拿不到新客戶優惠，有點受騙的感覺,,5
167,張家慈,2019年6月3日,1, 根本沒辦法登入，也找不到註冊的地方,,0
168,kelvin Wu,2019年5月31日,1, 任何優惠條碼都顯示已使用過，請協助排除，謝謝,,0
169,Gino Huang,2019年5月27日,5," 懶人必備app,輸入eats-1b5992，送你兩趟80抵用劵",,0
170,geriya liu,2019年5月28日,1, 無法註冊，輸入手機後收不到驗證碼,,0
171,iori685026,2019年5月26日,1, 連驗證都沒傳驗證碼過來,,1
172,羽,2019年5月28日,5, eats-gi5rx7 輸入邀請碼一起拿優惠哦,,0
173,廖小玉,2019年5月30日,4, 對於不想出門買吃的來說，挺方便的,,0
174,蔡瑩慧,2019年5月24日,1, 一直無法收到驗證碼,,7
175,冷柔,2019年5月26日,3, 輸入優惠碼eats-4s153a 可享折扣,,0
176,王啟嵩,2019年5月28日,5, 好用，系望能有更多餐廳能選,,0
177,婉兒,2019年5月29日,4, 為什麼一旦綁定信用卡，就不能選擇現金付款了？不能刪除,,0
178,Feijin Yu,2019年5月27日,5, 下載uber eats領優惠碼eats-uberlovelybug,,0
179,蕭阿丹,2019年5月26日,1, 一直收不到認證簡訊,,0
180,李婉芸,2019年5月31日,5, 一直無法變更外送地址,,0
181,賴宗賢,2019年6月1日,4, 如果店家在多點就好了,,0
182,maggie chuang,2019年6月1日,5, 邀請代碼：eats-ir61q2，可享2 次折扣優惠。,,0
183,顧天晴,2019年5月26日,1, 哪個天才設計的系統，難用到歎為觀止,,0
184,王正宇,2019年6月4日,5, 兩張80元，共160元，優惠券代碼：eats-2chads,,0
185,MOU YIN,2019年6月2日,1, 地圖位置顯示錯誤不能自己標，爛地圖,,0
186,玧其貓,2019年5月27日,5, 有300塊的折價卷，滿意到不行,,0
187,I TING CHOU,2019年6月4日,5, 超棒的！隨時隨地享用美食,,0
188,joanna Huang,2019年6月2日,5, 輸入優惠代碼 共享優惠唷 eats-1b5764,,0
189,h4622713,2019年5月25日,5, 給懶人 非常方便,,1
190,游莉萍,2019年5月25日,2, 爛死了註冊一直錯誤,,0
191,游孟霖,2019年5月29日,1, 付款方式一直有問題,,0
192,溫小寶,2019年5月30日,1, 收不到驗證代碼,,0
193,eag Lin,2019年5月31日,4, 外送費回覆正常,,0
194,sabirna,2019年6月4日,5, 送餐服務很好,,0
195,yp Hung,2019年5月26日,5, 超方便!而且送餐迅速,,0
196,楊舒淵,2019年5月26日,3, 從沒用過的優惠序號竟然說用過了不能用：（,,0
197,MIUSHA LIN,2019年5月27日,1, 說我信箱註冊過，卻沒地方讓我登入 ……是 怎麼回事 ！！,,0
198,林詩恩,2019年5月30日,5, eats-h94lhv 優惠碼80元,,0
199,鍾智偉,2019年5月31日,5, 方便好用，希望店家能多點,,0
200,陳陳立軻,2019年5月27日,5, 方便，時用，推台中台灣第一味民生店，速度超快,,0
201,賴昱潔,2019年5月26日,5, 折扣碼: eats-vc58lt 輸入可以馬上折價呦！！😄 一起享受 uber eats 吧~🍟🍔🍟🍔,,0
202,幫幫,2019年5月29日,1, 根本沒收到簡訊啊，感覺耍人,,0
203,陳思嘉,2019年5月30日,1, 請快回覆我吧！,,0
204,微笑理由,2019年5月28日,2, 更新後很多店家都變成無法供應了……,,0
205,陳小樹,2019年5月27日,5, 外送員很有禮貌，外送都滿準時的。,,0
206,趙偉丞,2019年5月30日,4, 我要打四樓定位完我的四樓都會不見😱😱,,1
207,沒人要,2019年5月28日,5, 方便又不用出門,,0
208,uni cc,2019年5月25日,5, 輸入eats-bu1dt7拿優惠,,0
209,如來佛祖玉皇大帝觀世音菩薩派來消滅屁孩使者,2019年5月29日,5, 很好用喲,,0
210,愛微陳,2019年5月30日,5, 真的實惠又方便,,0
211,吳宗翰,2019年6月3日,5, eats-wbxa9a 省$80耶，還不快用,,0
212,妍伶陳,2019年5月25日,5, 很棒！很方便！,,0
213,朱柏亘,2019年5月24日,5, 優惠序號 eats-t1kto9,,0
214,oO Oo,2019年5月24日,4, eats-aojids 用吧,,0
215,吳鳳瑛,2019年5月26日,4, 很方便，但店家有點少,,0
216,曾合彬,2019年5月30日,4, 好用，只是要看地方,,0
217,Thomas Peng,2019年6月1日,3, 搜尋條件可以再精進。,,0
218,梁育婷,2019年6月3日,5, 很棒，但是優惠不多,,0
219,Perry Kuo,2019年5月26日,5, 好用！！,,0
220,Buli Chen,2019年5月28日,5, eats-al7w7z 歡迎使用～,,0
221,郭蕙菁,2019年5月30日,5, eats-efmhq3. 邀請代碼,,0
222,nicola lai,2019年5月26日,5, 懶人專用，好方便,,0
223,維多利亞,2019年6月1日,5, 懶人癌的好朋友🤣,,0
224,法克TV,2019年5月27日,1, 請重視“信箱已註冊” 又無法登入問題？,,0
225,cyl_1020,2019年5月27日,5, 方便好用,,0
226,吳佩玟,2019年5月27日,5, 簡單快速 方便,,0
227,CHEN CHEN,2019年5月26日,5, 懶人用,,0
228,POPO LIOU,2019年5月29日,3, 東西沒有很多,,0
229,Ricky Yeh,2019年5月30日,5, 真的很方便,,0
230,阿趙,2019年6月1日,5, 方便好用,,0
231,Jason Lu,2019年6月3日,5, 宅氣+10,,0
232,martin chen,2019年6月5日,5, 夏天很方便,,0
233,Roger Ming,2019年5月28日,1, 手機版沒地圖。,,0
234,sara Lin,2019年5月29日,1, 根本不給認證簡訊，系統壞了？,,0
235,陳大薇,2019年5月27日,1, 為什麼台東沒有？！,,1
236,黃麒驊,2019年5月25日,5, 讚讚讚,,0
237,黃翠羽,2019年5月25日,1, 謝謝，你們的外送員辛苦了，然後，為什麼我帳號被停？？？（,,0
238,UBOX3 Wang,2019年5月30日,1, 首購優惠不能用……,,0
239,蔡昀棋,2019年5月25日,5, 很讚,,0
240,陳海鑫,2019年5月26日,5, 很棒,,0
241,吳合歡,2019年5月28日,5, 方便使用,,0
242,Ruby Peng,2019年5月26日,5, 方便快速,,0
243,Martin Wang,2019年5月27日,5, 很方便,,0
244,許凱揚,2019年6月2日,5, 好用,,0
245,Chuang Amanda,2019年6月3日,5, 很好,,0
246,張哲誠,2019年6月2日,5, 很方便,,0
247,蔡倫倫,2019年5月31日,5, 很棒,,0
248,陳郁婷郁婷,2019年6月3日,5, 很方便,,0
249,獨酌清風,2019年6月1日,5, 非常方便,,0
