,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
96,kimi jem,2019年4月21日,2, 外送沒有24小時，選擇越來越少,"有無科技2018年2月5日Dear kimi jem ,
基本上訂餐時間除了跟著餐廳作業之外(*ﾟ∀ﾟ*)
也會隨著天候和人力做調整(｡í _ ì｡)
平台也不喜歡做太大的異動╮(╯_╰)╭
這部分會再跟營運商溝通(´;ω;`)
運費是動態調整(●´ω｀●)ゞ
天氣穩定人力充沛σ(´∀｀*)
運費就會恢復原本費用(≧∀≦)ゞ
如同uber一樣σ(´∀｀*)
尖峰時間沒有司機的狀況下ヾ(●゜▽゜●)♡
uber費用就會比較高一些(・`ω´・)
待一切穩定＼(●´ϖ`●)／
費用就會隨之而降唷ᕦ(ò_óˇ)ᕤ",8
97,東宮太子,2019年4月5日,5, 輸入優惠碼：16863874即可享有100元折扣，超佛心！,,0
98,陳海靜,2019年4月7日,5, 有貨到付款就方便啦，但是希望店家新增多一點謝謝,,0
99,Mia lin,2019年4月5日,2, 每次拿到食物都要等一小時 而且都是冷得，就不想用,有無科技2019年4月6日抱歉造成您不好的使用體驗ಥ_ಥ,3
100,Wu Woosa,2019年4月7日,1, 外送餐廳離送達地點不遠，外送員卻拖了很久才送到…,有無科技2019年4月16日嗚嗚ಥ_ಥ 編會請相關單位留意送達狀況,0
101,黃傑夫,2019年4月11日,5, 北投區關渡一帶，少數可用的美食外送app,,1
102,Vuvuco Huang,2019年3月30日,3, 請輸入我的優惠碼34767015~一起獲得《有無外送》首購折抵NT$100優惠券吧！,,0
103,Yungting Yang,2019年4月27日,5, 有了這app真的方便好多,,1
104,Red Chen,2019年4月8日,4, resonable price but took bit longer time,,0
105,Lee Ryan,2019年4月22日,4, 希望地圖功能恢復 其他還不錯,有無科技2019年4月24日編會將您的建議轉給相關單位參考☺️,0
106,Tsai Bruce,2019年4月29日,5, 加班時吃晚餐的好選擇,,0
107,黃曉鈴,2019年4月21日,5, 快速送達 很方便,,0
108,Ming Ming Lin,2019年4月5日,5, 速度快，食物還是熱的,,1
109,蔡珊寶,2019年3月30日,5, 外送很準時,,0
110,Jack Pu,2019年4月7日,5, 好用! 簡單! 便宜!,,0
111,臧家珣,2019年4月13日,5, 很好用很方便,,0
112,羅祥貴,2019年4月5日,5, 第一次用感覺很讚。,,0
113,是小燚,2019年4月10日,5, 優質好app,,0
114,林大鈞,2019年4月14日,5, 店家選擇多,,0
115,林小宇,2019年4月20日,1, 送很慢,有無科技2019年4月24日可以至LINE@找編追蹤訂單進度唷🤗,0
116,Aaron Su,2019年4月23日,1, 士林捷運附近竟然沒有送，瞧不起士林人??,有無科技2019年4月24日沒有沒有👋我們目前採部分開放唷,0
117,slark krals,2019年5月19日,4," 第一次使用服務，準時，印象不錯，會再""交觀""。",有無科技2019年5月23日謝謝您&gt;~&lt;,0
118,琦琦,2019年5月18日,5, 嗯，還不錯,,0
119,Vivian Wu,2019年4月1日,5, 方便好用,,0
120,Google 使用者,2019年3月31日,5, 很好吃,,0
121,凱弘,2019年4月1日,5, 好用的 app,,0
122,GJ Lin,2019年4月3日,4, 推薦使用,,0
123,張子強,2019年4月8日,5, 服務好,,0
124,張小珍,2019年4月9日,5, 非常方便,,0
125,"影大白吾乃嫡后,吾兒真贏蕩,竟然是假孕",2019年4月16日,5, 貨到付款棒棒,,0
126,Winny Lu,2019年4月17日,5, 服務很好,,0
127,Amy Cheng,2019年4月20日,4, 方便快速,,0
128,朱秀雲,2019年4月25日,5, 很方便,,0
129,Krio,2019年4月21日,5, 輸入68899126就對了~~~~,,0
130,朱芊如,2019年3月28日,4, 很好,,0
131,余沛源,2019年3月29日,5, 爽,,0
132,Alexander Su,2019年3月30日,5, 讚,,0
133,洪順盟,2019年4月4日,5, 好用,,0
134,Cbd Ho,2019年4月14日,4, 讚,,0
135,Jason Li,2019年4月18日,5, 讚,,0
136,甄麒麟,2019年4月20日,5, 不錯,,0
137,陳驥剛,2019年4月23日,5, 讚,,0
138,Niu Niu,2019年4月30日,5, OK,,0
139,Jessica Hu,2019年4月30日,5, 方便,,0
140,葉惟娜,2019年4月19日,1, 訂購5次，成功2次，都是臨時被通知店家不接單取消，今天直接聯繫店家，但店家表示未接到任何有無的訂單，這跟臨時被通知「店家不接單」，落差很大，個人使用的感受不好。,有無科技2019年4月24日您好～可以到LINE@提供訂單編號請小編確認唷🤔,0
141,果鬼,2019年3月24日,5, 68807970這是個減免100ㄉ抵用劵，不用白不用，你用我也有，一起受益ㄅㄏㄏ,,0
142,旅遊者,2019年3月24日,4, 97701481 優惠碼歡迎取用,,0
143,wendy huang,2019年5月4日,5, 第一次用很滿意,,0
144,Google 使用者,2019年3月21日,5, 方便！希望能在多一點好吃的,有無科技2019年3月26日有喜愛的店家可以推薦給我們喲(˶‾᷄ ⁻̫ ‾᷅˵),0
145,怡君陳,2019年4月21日,4, 很方便 選擇性多,,0
146,林宇桑,2019年3月25日,5, 76761318一起來體驗,,0
147,gina wu,2019年3月23日,4, 服務快速，客服有耐心,,0
148,黃芷芸,2019年3月27日,5, 很好用的外送app ！值得推薦👍👍👍,,0
149,林佳瑩,2019年3月24日,3, 中壢沒有送嗎？,有無科技2019年3月26日中壢不在服務範圍內唷(｡･ω･｡),0
150,Google 使用者,2019年3月24日,5, 方便好用,,0
151,家瑋張,2019年3月27日,5, 速度快,,0
152,馮以虹,2019年3月24日,5, 好，用心,,0
153,張小呆,2019年3月31日,5, 方便，美味。,,0
154,Google 使用者,2019年3月23日,5, 方便,,0
155,賴翠彦,2019年3月25日,5, 很棒,,0
156,林糖果,2019年3月26日,5, 速度,,0
157,Google 使用者,2019年3月24日,4, 飯稍硬，其餘………讚!,有無科技2019年3月26日哪家哪家🤔是哪家餐廳的飯稍硬,0
158,安安,2019年3月10日,5, 點炸物不到30分就送到 乾淨而且重點是完全是熱的 運費只要30 這程式太太棒了,有無科技2019年3月19日謝謝您🖤,1
159,Lilllian Chang,2019年3月9日,1, 第一次使用等了快兩小時，叫外送以為方便結果要吃冷掉食物，真的很爛，餐廳出餐不會馬上送來，感覺一個騎士要送很多地方，逾時也不在乎，超級不推薦，想吃冷食物想等到天荒地老的人勇敢使用吧！,有無科技2019年3月10日很抱歉造成您不好的使用體驗😞,2
160,Google 使用者,2019年3月13日,4, 很完美的app，但有時候騎士都超過預定時間才送到希望能改善。,有無科技2019年3月19日好滴🙂編會將您的建議轉達給相關單位,1
161,kan Elva,2019年3月9日,4, 輸入我的優惠碼87326451就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用喔,,0
162,summerstudy2008,2019年3月16日,5," 有小寶寶後，就一直用這一款App, 在淡水也可以外送美食，謝謝有無外送團隊",,0
163,吳晏伶,2019年3月9日,5, 在家叫外送好輕鬆～快輸入我的優惠碼07566190就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
164,SiSi LIN,2019年3月17日,5, 在家叫外送好輕鬆～快輸入我的優惠碼19791841就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
165,Wendy Chiang,2019年3月7日,5, 第一次使用，竹圍地區有送基本就給五顆星，速度快，服務人員有禮貌,,1
166,毛毛,2019年3月20日,3, 為什麼不能按分享揪團 這個問題有點大 3天了,有無科技2019年3月26日您好～可以至LINE@詢問編哦！編可以幫您解答der◉‿◉,0
167,童欣欣,2019年4月26日,1, 真的很爛，點了飯跟飲料，飯一個多小時送到，飲料快兩小時送達，也都超過到達時間，很爛ˊ,有無科技2019年5月4日真的很抱歉讓您久等了～遇到訂單遲到可撥打客服專線或到LINE@請小編查詢,0
